Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51710000201,51,710,000201,74.2,1.8014,2
51710000202,51,710,000202,76.2,1.6043,3
51710000300,51,710,000300,74.2,1.7907,3
51710000400,51,710,000400,76.9,2.9456,2
51710000500,51,710,000500,76.5,2.1477,1
51710000600,51,710,000600,76.9,1.8196,3
51710000700,51,710,000700,74.9,2.6608,1
51710000800,51,710,000800,75.4,2.069,3
51710001100,51,710,001100,77.8,2.8818,3
51710001200,51,710,001200,83.2,2.1682,3
51710001300,51,710,001300,73.4,2.2211,3
51710001400,51,710,001400,76,1.7161,3
51710001500,51,710,001500,77.2,2.6285,3
51710001600,51,710,001600,74.1,1.6308,3
51710001700,51,710,001700,78.6,1.7877,3
51710002000,51,710,002000,73.1,2.0542,3
51710002100,51,710,002100,74.9,2.9953,3
51710002200,51,710,002200,79.3,2.207,3
51710002300,51,710,002300,81.2,2.5721,3
51710002400,51,710,002400,84.8,2.2725,3
51710002800,51,710,002800,72.4,1.2626,3
51710002900,51,710,002900,69.3,1.338,3
51710003000,51,710,003000,74.5,2.073,3
51710003100,51,710,003100,69.5,1.8399,3
51710003200,51,710,003200,75.6,2.0124,3
51710003300,51,710,003300,70.9,1.6551,3
51710003400,51,710,003400,72.7,2.1649,3
51710003501,51,710,003501,72.1,1.0907,2
51710003600,51,710,003600,78,1.8943,3
51710003800,51,710,003800,80.5,0.9869,2
51710004001,51,710,004001,84.7,2.4614,3
51710004002,51,710,004002,80.5,0.7752,2
51710004100,51,710,004100,63.9,2.2137,1
51710004200,51,710,004200,61.5,2.7364,3
51710004300,51,710,004300,66.8,1.6847,3
51710004400,51,710,004400,69.1,2.9508,3
51710004500,51,710,004500,72.8,1.8713,3
51710004600,51,710,004600,72.7,1.9801,3
51710004900,51,710,004900,84.9,2.2381,3
51710005000,51,710,005000,70.4,1.8418,3
51710005100,51,710,005100,74.4,1.8559,3
51710005500,51,710,005500,74.3,1.7097,2
51710005601,51,710,005601,76.3,1.0959,3
51710005602,51,710,005602,76.1,2.255,3
51710005701,51,710,005701,72.7,1.9101,1
51710005702,51,710,005702,72.6,1.7061,3
51710005800,51,710,005800,76.8,2.7368,3
51710005901,51,710,005901,72.8,1.7767,1
51710005902,51,710,005902,75.7,1.5948,3
51710005903,51,710,005903,72.6,2.0216,3
51710006000,51,710,006000,78,2.4207,3
51710006100,51,710,006100,75.2,1.1804,2
51710006200,51,710,006200,72.8,1.5694,3
51710006400,51,710,006400,75.7,1.4483,3
51710006601,51,710,006601,77,1.269,2
51710006602,51,710,006602,75.6,1.3789,3
51710006603,51,710,006603,77.2,1.6959,3
51710006604,51,710,006604,75.8,1.0925,2
51710006605,51,710,006605,79.2,1.617,3
51710006606,51,710,006606,78.3,1.3768,3
51710006607,51,710,006607,78,1.8396,3
51710006800,51,710,006800,74.8,1.6178,3
51710006901,51,710,006901,70.1,1.4812,3
51710006902,51,710,006902,75.4,1.5188,3
51710007001,51,710,007001,76.7,3.2221,2
51710007002,51,710,007002,79.8,1.7255,3
