Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51550020001,51,550,020001,74.1,1.695,3
51550020002,51,550,020002,73.9,1.11,2
51550020003,51,550,020003,77.5,2.1192,3
51550020100,51,550,020100,71.6,1.5359,3
51550020200,51,550,020200,73.1,1.476,3
51550020300,51,550,020300,73.1,1.6931,2
51550020400,51,550,020400,70.8,1.9183,3
51550020500,51,550,020500,70,2.6286,3
51550020600,51,550,020600,78.1,1.6675,3
51550020700,51,550,020700,72.9,1.5005,3
51550020804,51,550,020804,80.9,1.646,1
51550020805,51,550,020805,77.7,2.0282,3
51550020806,51,550,020806,80,1.4369,3
51550020807,51,550,020807,79.9,1.1283,3
51550020808,51,550,020808,79.8,1.6925,3
51550020809,51,550,020809,82.5,3.021,3
51550020903,51,550,020903,75.9,1.9165,3
51550020904,51,550,020904,80,1.0186,2
51550020905,51,550,020905,78.3,2.417,3
51550020906,51,550,020906,76.7,1.2032,3
51550021004,51,550,021004,77.1,1.5996,1
51550021005,51,550,021005,80,1.5599,3
51550021006,51,550,021006,79.5,1.7169,3
51550021010,51,550,021010,80.7,1.5428,3
51550021011,51,550,021011,79.5,1.6966,3
51550021012,51,550,021012,78.8,1.8904,2
51550021101,51,550,021101,81.4,1.6251,3
51550021102,51,550,021102,78.8,1.1556,3
51550021200,51,550,021200,78.6,1.0318,3
51550021301,51,550,021301,78.9,1.2355,2
51550021302,51,550,021302,78.4,1.2234,2
51550021401,51,550,021401,76.4,2.2114,3
51550021402,51,550,021402,76.8,2.6323,3
51550021403,51,550,021403,72.7,0.8206,2
51550021404,51,550,021404,74.8,1.0498,3
51550021501,51,550,021501,79.5,1.5444,1
51550021502,51,550,021502,81.4,1.1962,1
51550021601,51,550,021601,81,1.6842,3
51550021602,51,550,021602,76.5,1.3462,3
